"Your legal guarantee rights","Ihre gesetzlichen Gewährleistungsrechte"
"EU legal guarantee notice","EU-Hinweis zur gesetzlichen Gewährleistung"
"EU legal guarantee notice: minimum two-year legal guarantee protection for goods sold in the European Union. More information: %1","EU-Hinweis zur gesetzlichen Gewährleistung: Mindestens zwei Jahre gesetzliche Gewährleistung der Vertragsmäßigkeit für Waren, die in der Europäischen Union verkauft werden. Weitere Informationen: %1"
"Close","Schließen"
"GARAN – producer guarantee %1 years, %2 %3","GARAN – Herstellergarantie %1 Jahre, %2 %3"
"Producer guarantee (EU GARAN label)","Herstellergarantie (EU-GARAN-Label)"
"Information on the EU guarantee label","Informationen zum EU-Garantielabel"
"Guarantee terms and conditions","Garantiebedingungen"
"The GARAN guarantee duration ""%1"" is invalid. Enter whole or half years greater than 2 and at most 99, e.g. 3 or 4,5.","Die GARAN-Garantiedauer „%1“ ist ungültig. Bitte ganze oder halbe Jahre größer als 2 und höchstens 99 eingeben, z. B. 3 oder 4,5."
"The GARAN brand ""%1"" and model identifier ""%2"" are too long for the label. Please shorten them.","Marke „%1“ und Modellkennung „%2“ sind für das GARAN-Label zu lang. Bitte kürzen."
"The GARAN guarantee terms URL ""%1"" is invalid. Enter a full http:// or https:// URL.","Die URL der Garantiebedingungen „%1“ ist ungültig. Bitte eine vollständige http://- oder https://-URL eingeben."
"Permission denied","Zugriff verweigert"
"No such store","Store nicht gefunden"
"Off","Aus"
"Direct (complete graphic)","Direkt (vollständige Grafik)"
"Nested (button opens dialog)","Geschachtelt (Button öffnet Dialog)"
"Automatic (from store locale)","Automatisch (aus der Store-Locale)"
"EU Guarantee Notice & GARAN Label","EU-Gewährleistungshinweis & GARAN-Label"
"General Settings","Allgemeine Einstellungen"
"Implements the EU harmonised notice on the legal guarantee of conformity and the EU GARAN label (Implementing Regulation (EU) 2025/1960, applicable from 27 September 2026). This module does not constitute legal advice.","Setzt den EU-Hinweis zur gesetzlichen Gewährleistung und das EU-GARAN-Label um (Durchführungsverordnung (EU) 2025/1960, anwendbar ab 27. September 2026). Dieses Modul stellt keine Rechtsberatung dar."
"Enable Module","Modul aktivieren"
"Kill switch: ""No"" removes every notice and label output for this scope.","Notabschaltung: „Nein“ entfernt jede Hinweis- und Label-Ausgabe für diesen Geltungsbereich."
"Label Language","Sprache des Hinweises"
"Selects the official notice version and the Your Europe link. Set it explicitly when the store locale does not match the language of the store content.","Wählt die offizielle Sprachfassung des Hinweises und den Your-Europe-Link. Explizit setzen, wenn die Store-Locale nicht der Sprache der Shop-Inhalte entspricht."
"Nested Display Button Text","Button-Text bei geschachtelter Anzeige"
"Text of the button that opens the notice in nested mode. Leave empty for the translated default ""Your legal guarantee rights"".","Text des Buttons, der den Hinweis im geschachtelten Modus öffnet. Leer lassen für den übersetzten Standardtext „Ihre gesetzlichen Gewährleistungsrechte“."
"Notice Alternative Text","Alternativtext des Hinweises"
"Alternative text of the notice image for screen readers and blocked images in emails. Leave empty for the translated default.","Alternativtext der Hinweisgrafik für Screenreader und blockierte Bilder in E-Mails. Leer lassen für den übersetzten Standardtext."
"Minimum Notice Width (CSS px)","Mindestbreite des Hinweises (CSS-px)"
"The notice is never rendered narrower than this, so its QR code stays at least 2 x 2 cm.","Der Hinweis wird nie schmaler dargestellt, damit der QR-Code mindestens 2 × 2 cm groß bleibt."
"Product Types Without Legal Guarantee Notice","Produkttypen ohne Gewährleistungshinweis"
"Non-goods such as gift cards or downloads. Checkout and email show the notice only if the cart or order contains at least one other item.","Nicht-Waren wie Gutscheine oder Downloads. Checkout und E-Mail zeigen den Hinweis nur, wenn Warenkorb bzw. Bestellung mindestens einen anderen Artikel enthält."
"Legal Guarantee Notice Placements","Platzierungen des Gewährleistungshinweises"
"""Direct"" shows the complete official notice. ""Nested"" shows a button that opens the notice in a dialog on the first click (EU guidelines p. 16-19); a stricter interpretation requires the direct display.","„Direkt“ zeigt den vollständigen offiziellen Hinweis. „Geschachtelt“ zeigt einen Button, der den Hinweis beim ersten Klick in einem Dialog öffnet (EU-Leitlinien S. 16–19); eine strengere Auslegung verlangt die direkte Anzeige."
"Header","Header"
"Footer","Footer"
"Category Page","Kategorieseite"
"Search Results","Suchergebnisse"
"Shopping Cart","Warenkorb"
"Checkout (before Place Order)","Checkout (vor „Bestellung abschicken“)"
"Checkout Success Page","Bestellbestätigungsseite"
"Order Confirmation Email","Bestellbestätigungs-E-Mail"
"Emails cannot open dialogs, ""Nested"" is rendered like ""Direct"".","E-Mails können keine Dialoge öffnen, „Geschachtelt“ wird wie „Direkt“ dargestellt."
"EU GARAN Label","EU-GARAN-Label"
"Shown only for products whose producer offers a commercial guarantee of durability free of charge, for the entire good and for more than two years. Maintain brand, model identifier, duration and guarantee terms URL on the simple product (variant).","Wird nur für Produkte angezeigt, deren Hersteller eine kostenlose Haltbarkeitsgarantie für die gesamte Ware und für mehr als zwei Jahre gewährt. Marke, Modellkennung, Dauer und URL der Garantiebedingungen am einfachen Produkt (Variante) pflegen."
"Enable GARAN Label","GARAN-Label aktivieren"
"Product Page","Produktseite"
"The guarantee terms of the producer are attached to this email.","Die Garantiebedingungen des Herstellers sind dieser E-Mail als Anhang beigefügt."
"Rename failed","Umbenennen fehlgeschlagen"
